新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
第八百八十八章 从未感觉如此强大！: https://www.xbiquge.bz/book/51654/40671801.html
第八百八十九章 峰哥的境界: https://www.xbiquge.bz/book/51654/40671802.html
第八百九十章 如果这都不算奇迹...: https://www.xbiquge.bz/book/51654/40671803.html
第八百九十一章 不装了，摊牌了: https://www.xbiquge.bz/book/51654/40671804.html
第八百九十二章 我的荣耀我来重铸！: https://www.xbiquge.bz/book/51654/40671805.html
第八百九十三章 峰哥，我要！: https://www.xbiquge.bz/book/51654/40671806.html
第八百九十四章 来了来了他来了！: https://www.xbiquge.bz/book/51654/40671807.html
第八百九十五章 打他蛋！: https://www.xbiquge.bz/book/51654/40671808.html
第八百九十六章 李氏一族的天赋技！: https://www.xbiquge.bz/book/51654/40671809.html
第八百九十七章 背后的原因却令人暖心...: https://www.xbiquge.bz/book/51654/40671810.html
第八百九十八章 无中生...: https://www.xbiquge.bz/book/51654/40671811.html
第八百九十九章 你瞒我瞒: https://www.xbiquge.bz/book/51654/40671812.html
第九百章 一见峰贼误终生！: https://www.xbiquge.bz/book/51654/40671813.html
第九百零一章 基操勿6（求月票）: https://www.xbiquge.bz/book/51654/40671814.html
第九百零二章 谁说我是世界第一好抓上单？: https://www.xbiquge.bz/book/51654/40671815.html
第九百零三章 这波几星盲仔？: https://www.xbiquge.bz/book/51654/40671816.html
第九百零四章 血魔流达摩？！: https://www.xbiquge.bz/book/51654/40671817.html
第九百零五章 贴膜男孩出道！: https://www.xbiquge.bz/book/51654/40671818.html
第九百零六章 一场比赛为什么有四个打野？: https://www.xbiquge.bz/book/51654/40671819.html
第九百零七章 在泉水里我还能让你给欺负了？ （求月票噜）: https://www.xbiquge.bz/book/51654/40671820.html
第九百零八章 K宝放心飞 （求月票噜）: https://www.xbiquge.bz/book/51654/40671821.html
第九百零九章 K哥的一天: https://www.xbiquge.bz/book/51654/40671822.html
第九百一十章 虎爷，请上座！（求月票）: https://www.xbiquge.bz/book/51654/40671823.html
第九百一十一章 霸王色霸气？（求月票噜）: https://www.xbiquge.bz/book/51654/40671824.html
第九百一十二章 操作也变成了七酱的形状！: https://www.xbiquge.bz/book/51654/40671825.html
第九百一十三章 快把小狗抬上来！: https://www.xbiquge.bz/book/51654/40671826.html
第九百一十四章 谁把K哥不当人 ？: https://www.xbiquge.bz/book/51654/40671827.html
第九百一十五章 不同寻常的比赛: https://www.xbiquge.bz/book/51654/40671828.html
第九百一十六章 刷新LPL记录的比赛！: https://www.xbiquge.bz/book/51654/40671829.html
第九百一十七章 什么叫高情商啊？！: https://www.xbiquge.bz/book/51654/40671830.html
第九百一十八章 我和你，心连心...: https://www.xbiquge.bz/book/51654/40671831.html
第九百一十九章 峰哥你行不行啊？！: https://www.xbiquge.bz/book/51654/40671832.html
第九百二十章 峰哥，不行；乌兹，行！: https://www.xbiquge.bz/book/51654/40671833.html
第九百二十一章 明牌斗地主是什么感觉？: https://www.xbiquge.bz/book/51654/40671834.html
第九百二十二章 谁说小炮不缺蓝？（大章求月票）: https://www.xbiquge.bz/book/51654/40671835.html
第九百二十三章 峰哥怕不是在Pua我？（月末求月票）: https://www.xbiquge.bz/book/51654/40671836.html
第九百二十四章 上高地还需要大龙？（月票求月票）: https://www.xbiquge.bz/book/51654/40671837.html
第九百二十五章 冰峰X恋？（月末求月票噜）: https://www.xbiquge.bz/book/51654/40671838.html
第九百二十六章 K哥的天灵盖: https://www.xbiquge.bz/book/51654/40671839.html
第九百二十七章 什么叫电竞教父啊？！: https://www.xbiquge.bz/book/51654/40671840.html
第九百二十八章 高纯度的比赛 （月末求月票噜）: https://www.xbiquge.bz/book/51654/40671841.html
第九百二十九章 你大爷还是你大爷 （月末求月票）: https://www.xbiquge.bz/book/51654/40671842.html
第九百三十章 中野决裂倒计时？（月末求票票）: https://www.xbiquge.bz/book/51654/40671843.html
第九百三十一章 我觉得这波不能怪硬币哥: https://www.xbiquge.bz/book/51654/40671844.html
第九百三十二章 爆杀流和暴走流 （月初求保底月票）: https://www.xbiquge.bz/book/51654/40671845.html
第九百三十三章 峡谷相对论下的超音速（月初求月票）: https://www.xbiquge.bz/book/51654/40671846.html
第九百三十四章 寄了寄了寄了！（月初求月票）: https://www.xbiquge.bz/book/51654/40671847.html
第九百三十五章 我Ban我自己？: https://www.xbiquge.bz/book/51654/40671848.html
第九百三十六章 峰哥危！: https://www.xbiquge.bz/book/51654/40671849.html
第九百三十七章 专治剑姬的绝活哥！（月初求月票咯）: https://www.xbiquge.bz/book/51654/40671850.html
第九百三十八章 很喜欢K哥的一句话: https://www.xbiquge.bz/book/51654/40671851.html
第九百三十九章 是时候请神上身了！: https://www.xbiquge.bz/book/51654/40671852.html
第九百四十章 等一个“Lwx进场了”！: https://www.xbiquge.bz/book/51654/40671853.html
第九百四十一章 达摩（虚假的血魔）；剑姬（真正的血魔）！: https://www.xbiquge.bz/book/51654/40671854.html
第九百四十二章 你们就在此地别走动，我去开个团: https://www.xbiquge.bz/book/51654/40671855.html
第九百四十三章 进场进场，一天天就知道进场！: https://www.xbiquge.bz/book/51654/40671856.html
第九百四十四章 心中无男人，打拳自然神: https://www.xbiquge.bz/book/51654/40671857.html
第九百四十五章 当时我害怕极了！: https://www.xbiquge.bz/book/51654/40671858.html
第九百四十六章 峰哥？峰狗而已！: https://www.xbiquge.bz/book/51654/40671859.html
第九百四十七章 想要冠军吗？: https://www.xbiquge.bz/book/51654/40671860.html
第九百四十八章 敢不敢和我发育？: https://www.xbiquge.bz/book/51654/40671861.html
第九百四十九章 反向一穿四？: https://www.xbiquge.bz/book/51654/40671862.html
第九百五十章 【旧约.启示录.Theshine之心】: https://www.xbiquge.bz/book/51654/40671863.html
第九百五十一章 不一样的穿甲流？: https://www.xbiquge.bz/book/51654/40671864.html
第九百五十二章 我A不出来啊！: https://www.xbiquge.bz/book/51654/40671865.html
第九百五十三章 飞龙骑脸怎么死？: https://www.xbiquge.bz/book/51654/40671866.html
第九百五十四章 爷拉得不是面，是雷电！（大章）: https://www.xbiquge.bz/book/51654/40671867.html
第九百五十五章 什么叫不灭狂雷啊？！: https://www.xbiquge.bz/book/51654/40671868.html
第九百五十六章 混子上单的福音！: https://www.xbiquge.bz/book/51654/40671869.html
第九百五十七章 听你峰叔一句劝: https://www.xbiquge.bz/book/51654/40671870.html
第九百五十八章 我呸！恶心！: https://www.xbiquge.bz/book/51654/40671871.html
第九百五十九章 就是你小子给鬼子带的路？: https://www.xbiquge.bz/book/51654/40671872.html
第九百六十章 偷！: https://www.xbiquge.bz/book/51654/40671873.html
第九百六十一章 以彼之道还施彼身？（双倍求月票）: https://www.xbiquge.bz/book/51654/40671874.html
第九百六十二章 生死局的悬崖边！: https://www.xbiquge.bz/book/51654/40671875.html
第九百六十三章 一代版本一代神，代代版本...: https://www.xbiquge.bz/book/51654/40671876.html
第九百六十四章 宁就是狂小K？: https://www.xbiquge.bz/book/51654/40671877.html
第九百六十五章 到底把谁的闪现给我交咯？！: https://www.xbiquge.bz/book/51654/40671878.html
第六百六十六章 教练！我悟了！: https://www.xbiquge.bz/book/51654/40671879.html
第六百六十七章 我能秒你，就等于你打我不掉血: https://www.xbiquge.bz/book/51654/40671880.html
第六百六十八章 无脑爆杀流？: https://www.xbiquge.bz/book/51654/40671881.html
第九百六十九章 你秀任你秀，把你当瓜皮！: https://www.xbiquge.bz/book/51654/40671882.html
第九百七十章 采访席的小修罗场: https://www.xbiquge.bz/book/51654/40671883.html
第九百七十一章 联盟偶像，唯有峰酱！: https://www.xbiquge.bz/book/51654/40671884.html
第九百七十二章 女人的脑子怎么长的？: https://www.xbiquge.bz/book/51654/40671885.html
第九百七十三章 《王朝》: https://www.xbiquge.bz/book/51654/40671886.html
第九百七十四章 飞哥，你这就没意思了啊...: https://www.xbiquge.bz/book/51654/40671887.html
第九百七十五章 这女人（手劲）真大！: https://www.xbiquge.bz/book/51654/40671888.html
第九百七十六章 Faker爆了！！！: https://www.xbiquge.bz/book/51654/40671889.html
第九百七十七章 中路大舞台，峰哥我先来！: https://www.xbiquge.bz/book/51654/40671890.html
第九百七十八章 敌我李哥: https://www.xbiquge.bz/book/51654/40671891.html
第九百七十九章 联盟第一人！（全书完）: https://www.xbiquge.bz/book/51654/40671892.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
